Symbole,Nom.de.la.société,Dernier.prix,Variation,%.de.variation,Volume
ORA.PA,Orange S.A.,1075,"0,05","+0,45 %",2 599 849
SAN.PA,Sanofi,9760,"0,62","+0,64 %",888 672
HO.PA,Thales S.A.,11740,"0,80","+0,69 %",474 298
BN.PA,Danone S.A.,5011,"-0,45","-0,89 %",551 949
AI.PA,L'Air Liquide S.A.,15998,"-1,76","-1,09 %",336 854
CA.PA,Carrefour SA,1928,"0,32","+1,69 %",1 726 656
AIR.PA,Airbus SE,10340,"-1,84","-1,75 %",906 249
RI.PA,Pernod Ricard SA,19855,"-3,65","-1,81 %",180 265
VIV.PA,Vivendi SE,1161,"-0,23","-1,94 %",1 290 773
EN.PA,Bouygues SA,3003,"-0,60","-1,96 %",505 746
ENGI.PA,ENGIE SA,1155,"-0,23","-1,97 %",4 076 728
OR.PA,L'Oreal SA,36480,"-9,70","-2,59 %",178 578
DG.PA,Vinci SA,8553,"-2,85","-3,22 %",968 158
ML.PA,Compagnie Générale des Établissements Michelin Société en commandite par actions,11610,"-4,35","-3,61 %",272 793
SW.PA,Sodexo S.A.,6290,"-2,50","-3,82 %",215 929
ACA.PA,Crédit Agricole S.A.,991,"-0,40","-3,93 %",6 137 736
LR.PA,Legrand SA,8146,"-3,60","-4,23 %",326 882
VIE.PA,Veolia Environnement S.A.,2709,"-1,23","-4,34 %",1 502 837
MC.PA,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",63180,"-29,10","-4,40 %",221 375
WLN.PA,Worldline S.A.,3732,"-1,74","-4,45 %",519 840
GLE.PA,Société Générale Société anonyme,2159,"-1,07","-4,70 %",4 457 681
ATO.PA,Atos SE,2273,"-1,13","-4,74 %",600 748
BNP.PA,BNP Paribas SA,4667,"-2,33","-4,74 %",3 334 174
CAP.PA,Capgemini SE,19125,"-9,55","-4,76 %",199 498
AC.PA,Accor SA,2697,"-1,42","-5,00 %",308 125
KER.PA,Kering SA,55370,"-30,90","-5,29 %",122 811
SU.PA,Schneider Electric S.E.,14270,"-9,26","-6,09 %",777 163
SGO.PA,Compagnie de Saint-Gobain S.A.,4901,"-3,29","-6,29 %",1 556 644
